Name,Neighborhood,Street No,Street Name,City,State,PostalCode,Phone,Theme,Qualifier,Vendor
"1400 North at the Westin Washington, D.C. City Center (Downtown)",Downtown,1400,M Street NW,Washington,DC,20005,(202) 429-1700,Restaurants,Venue,"1400 North at the Westin Washington, D.C. City Center"
14K Restaurant & Lounge (Downtown),Downtown,1001,"14th Street, NW",Washington,DC,20005,(202) 218-7575,Restaurants,Venue,14K Restaurant & Lounge
15 ria (Logan Circle),Logan Circle,1515,Rhode Island Ave. NW,Washington,DC,20005,(202) 742-0015,Restaurants,Venue,15 ria
1789 Restaurant (Georgetown),Georgetown,1226,"36th Street, NW",Washington,DC,20007,(202) 965-1789,Restaurants,Venue,1789 Restaurant
1905 (U Street Corridor),U Street Corridor,1905,9th St. NW,Washington,DC,20001,(202) 332-1905,Restaurants,Venue,1905
2100 Prime In The Fairfax Hotel (Dupont Circle),Dupont Circle,2100,Massachusetts Avenue,Washington,DC,20008,(202) 835-2100,Restaurants,Venue,2100 Prime In The Fairfax Hotel
701 Restaurant (Penn Quarter),Penn Quarter,701,Pennsylvania Ave. NW,Washington,DC,20004,(202) 393-0701,Restaurants,Venue,701 Restaurant
Acadiana (Downtown),Downtown,901,"New York Ave., NW",Washington,DC,20001,(202) 408-8848,Restaurants,Venue,Acadiana
Acre 121 (Columbia Heights / Brightwood),Columbia Heights / Brightwood,1400,Irving St NW,Washington,DC,20010,(202) 408-8848,Restaurants,Venue,Acre 121
American Grill (Downtown),Downtown,480,"L'Enfant Plaza, SW",Washington,DC,20024,(202) 646-4433,Restaurants,Venue,American Grill
Aria Pizzeria & Bar (Downtown),Downtown,1300,Pennsylvania Avenue,Washington,DC,20004,(202) 312-1250,Restaurants,Venue,Aria Pizzeria & Bar
Art and Soul (Capitol Hill),Capitol Hill,415,New Jersey Avenue NW,Washington,DC,20001,(202) 393-7777,Restaurants,Venue,Art and Soul
Article One - American Grill (Capitol Hill),Capitol Hill,400,"New Jersey Avenue, N",Washington,DC,20001,(202) 719-8478,Restaurants,Venue,Article One - American Grill
Avenue Cafe Bar and Grill - Holiday Inn Central (Logan Circle),Logan Circle,1501,Rhode Island Avenue,Washington,DC,20005,(202) 483-2000,Restaurants,Venue,Avenue Cafe Bar and Grill - Holiday Inn Central
Avenue Grill (Downtown),Downtown,1331,Pennsylvania Ave. NW,Washington,DC,20004,(202) 626-6970,Restaurants,Venue,Avenue Grill
B. Smith's (Capitol Hill),Capitol Hill,50,Massachusetts Ave. N,Washington,DC,20002,(202) 289-6188,Restaurants,Venue,B. Smith's
Barcode (Downtown),Downtown,1101,"17th Street, NW",Washington,DC,20036,(202) 955-9001,Restaurants,Venue,Barcode
Beacon Bar and Grill (Dupont Circle),Dupont Circle,1615,Rhode Island Ave. NW,Washington,DC,20036,(202) 872-1126,Restaurants,Venue,Beacon Bar and Grill
Bier Baron Restaurant & Tavern (Dupont Circle),Dupont Circle,1523,22nd Street NW,Washington,DC,20037,(202) 293-1887,Restaurants,Venue,Bier Baron Restaurant & Tavern
Birch and Barley (Logan Circle),Logan Circle,1337,"14th Street, NW",Washington,DC,20005,(202) 567-2576,Restaurants,Venue,Birch and Barley
BLT Steak DC (Downtown),Downtown,1625,Eye Street,Washington,DC,20005,(202) 689-8999,Restaurants,Venue,BLT Steak DC
Blue Duck Tavern (West End),West End,1201,"24th Street, NW",Washington,DC,20037,(202) 419-6755,Restaurants,Venue,Blue Duck Tavern
Bobby Van's Grill - New York Ave. (Downtown),Downtown,1201,"New York Avenue, NW",Washington,DC,20005,(202) 589-1504,Restaurants,Venue,Bobby Van's Grill - New York Ave.
Boundary Road (H Street Corridor),H Street Corridor,414,H St NE,Washington,DC,20002,(202) 450-3265,Restaurants,Venue,Boundary Road
Bourbon Steak - Four Seasons Washington DC (Georgetown),Georgetown,2800,Pennsylvania Avenue,Washington,DC,20007,(202) 342-0444,Restaurants,Venue,Bourbon Steak - Four Seasons Washington DC
Buca di Beppo - DC (Dupont Circle),Dupont Circle,1825,Connecticut Ave NW,Washington,DC,20009,(202) 232-8466,Restaurants,Venue,Buca di Beppo - DC
Cafe of India (Friendship Heights),Friendship Heights,4909,"Wisconsin Avenue, NW",Washington,DC,20016,(202) 244-1395,Restaurants,Venue,Cafe of India
Cafe Soleil (Downtown),Downtown,839,Seventeenth Street N,Washington,DC,20006,(202) 974-4260,Restaurants,Venue,Cafe Soleil
Capitol City Brewing Company - Downtown (Downtown),Downtown,1100,New York Ave. N.W.,Washington,DC,20005,(202) 628-2222,Restaurants,Venue,Capitol City Brewing Company - Downtown
Cashion's Eat Place (Adams Morgan),Adams Morgan,1819,Columbia Road NW,Washington,DC,20009,(202) 797-1819,Restaurants,Venue,Cashion's Eat Place
The Caucus Room Brasserie (Georgetown),Georgetown,2350,M St. NW,Washington,DC,20037,(202) 861-3450,Restaurants,Venue,The Caucus Room Brasserie
Cedar Restaurant (Penn Quarter),Penn Quarter,822,"E Street, NW",Washington,DC,20004,(202) 637-0012,Restaurants,Venue,Cedar Restaurant
Ceiba (Downtown),Downtown,701,14th Street NW,Washington,DC,20005,(202) 393-3983,Restaurants,Venue,Ceiba
Central Michel Richard (Penn Quarter),Penn Quarter,1001,"Pennsylvania Ave., N",Washington,DC,20004,(202) 626-0015,Restaurants,Venue,Central Michel Richard
Charlie Palmer Steak - DC (Capitol Hill),Capitol Hill,101,"Constitution Avenue,",Washington,DC,20001,(202) 547-8100,Restaurants,Venue,Charlie Palmer Steak - DC
Chef Geoff's New Mexico Ave. (Georgetown),Georgetown,3201,New Mexico Avenue,Washington,DC,20016,(202) 237-7800,Restaurants,Venue,Chef Geoff's New Mexico Ave.
Chef Geoff's Downtown (Downtown),Downtown,1301,"Pennsylvania Ave., N",Washington,DC,20004,(202) 464-4461,Restaurants,Venue,Chef Geoff's Downtown
Circle Bistro (Foggy Bottom),Foggy Bottom,1,Washington Circle,Washington,DC,20037,(202) 293-5390,Restaurants,Venue,Circle Bistro
CityZen (Downtown),Downtown,1330,Maryland Avenue SW,Washington,DC,20024,(202) 787-6148,Restaurants,Venue,CityZen
Clyde's of Chevy Chase (Friendship Heights),Friendship Heights,5441,Wisconsin Avenue,Chevy Chase,MD,20815,(301) 951-9600,Restaurants,Venue,Clyde's of Chevy Chase
Clyde's of Gallery Place (Downtown),Downtown,707,7th Street NW,Washington,DC,20001,(202) 349-3700,Restaurants,Venue,Clyde's of Gallery Place
Clyde's of Georgetown (Georgetown),Georgetown,3236,M Street NW,Washington,DC,20007,(202) 333-9180,Restaurants,Venue,Clyde's of Georgetown
Co Co. Sala (Penn Quarter),Penn Quarter,929,F street NW,Washington,DC,20004,202) 347-4265,Restaurants,Venue,Co Co. Sala
1905 (U Street Corridor),U Street Corridor,1905,9th St. NW,Washington,DC,20001,(202) 332-1905,Restaurants,Venue,1905
Acacia Bistro (Van Ness),Van Ness,4340,Connecticut Ave. NW.,Washington,DC,20008,(202) 537-1040,Restaurants,Venue,Acacia Bistro
Acqua Al 2 (Capitol Hill),Capitol Hill,212,"7th Street, SE",Washington,DC,20003,(202) 525-4375,Restaurants,Venue,Acqua Al 2
Adour at St. Regis Washington DC (Downtown),Downtown,923,"16th Street, N.W.",Washington,DC,20006,(202) 509-8000,Restaurants,Venue,Adour at St. Regis Washington DC
AGORA (Dupont Circle),Dupont Circle,1527,17th Street N.W.,Washington,DC,20036,(202) 332-6767,Restaurants,Venue,AGORA
Al Dente (FKA La Forchetta) (Friendship Heights),Friendship Heights,3201,New Mexico Ave. Suit,Washington,DC,20016,(202) 244-2223,Restaurants,Venue,Al Dente (FKA La Forchetta)
Ambar (Capitol Hill),Capitol Hill,523,8th Street SE,Washington,DC,20003,(202) 813-3039,Restaurants,Venue,Ambar
Ancora (Foggy Bottom),Foggy Bottom,600,New Hampshire Ave. NW,Washington,DC,20037,(202) 333-1600,Restaurants,Venue,Ancora
Aria Pizzeria & Bar (Downtown),Downtown,1300,Pennsylvania Avenue,Washington,DC,20004,(202) 312-1250,Restaurants,Venue,Aria Pizzeria & Bar
"Arucola Osteria (Chevy Chase, DC)","Chevy Chase, DC",5534,Connecticut Avenue N,Washington,DC,20015,(202) 244-1555,Restaurants,Venue,Arucola Osteria
Avenue Cafe Bar and Grill-Holiday Inn Central (Logan Circle),Logan Circle,1501,Rhode Island Avenue,Washington,DC,20005,(202) 483-2000,Restaurants,Venue,Avenue Cafe Bar and Grill-Holiday Inn Central
Barcode (Downtown),Downtown,1101,"17th Street, NW",Washington,DC,20036,(202) 955-9001,Restaurants,Venue,Barcode
Belga Cafe (Capitol Hill),Capitol Hill,514,"8th Street, SE",Washington,DC,20003,(202) 544-0100,Restaurants,Venue,Belga Cafe
Bistro Bis (Downtown),Downtown,1100,"New York Avenue, NW",Washington,DC,20005,0,Restaurants,Venue,Bistro Bis
Bistro Bis (Capitol Hill),Capitol Hill,15,"E Street, NW",Washington,DC,20001,(202) 661-2700,Restaurants,Venue,Bistro Bis
Bistro Bistro (Dupont Circle),Dupont Circle,1727,"Connecticut Ave., NW",Washington,DC,20009,(202) 328-1640,Restaurants,Venue,Bistro Bistro
Bistro Bohem (U Street Corridor),U Street Corridor,600,Florida Ave. NW,Washington,DC,20001,(202) 735-5895,Restaurants,Venue,Bistro Bohem
Bistro Cacao (Capitol Hill),Capitol Hill,320,Massachusetts Avenue,Washington,DC,20002,(202) 546-4737,Restaurants,Venue,Bistro Cacao
Bistro d'OC (Downtown),Downtown,518,10th St NW,Washington,DC,20004,(202) 393-5444,Restaurants,Venue,Bistro d'OC
Bistro Francais (Georgetown),Georgetown,3124,M Street NW,Washington,DC,20007,(202) 338-3830,Restaurants,Venue,Bistro Francais
Bistrot Lepic & Wine Bar (Georgetown),Georgetown,1736,Wisconsin Ave NW,Washington,DC,20007,(202) 333-0111,Restaurants,Venue,Bistrot Lepic & Wine Bar
Brasserie Beck (Downtown),Downtown,1101,"K Street, NW",Washington,DC,20005,(202) 408-1717,Restaurants,Venue,Brasserie Beck
Buca di Beppo - DC (Dupont Circle),Dupont Circle,1825,Connecticut Ave NW,Washington,DC,20009,(202) 232-8466,Restaurants,Venue,Buca di Beppo - DC
Cafe Berlin (Capitol Hill),Capitol Hill,322,"Massachusetts Avenu,",Washington,DC,20005,(202) 543-7656,Restaurants,Venue,Cafe Berlin
Cafe Du Parc (Downtown),Downtown,1401,Pennsylvania Avenue,Washington,DC,20004,(202) 942-7000,Restaurants,Venue,Cafe Du Parc
Cafe Dupont (Dupont Circle),Dupont Circle,1500,New Hampshire Ave. N,Washington,DC,20036,(202) 483-6000,Restaurants,Venue,Cafe Dupont
Café Milano (Georgetown),Georgetown,3251,"Prospect Street, NW",Washington,DC,20007,(202) 333-6183,Restaurants,Venue,Café Milano
Cafe Paradiso (Woodley Park),Woodley Park,2649,Connecticut Ave NW,Washington,DC,20008,(202) 265-8955,Restaurants,Venue,Cafe Paradiso
Carmine's Restaurant - DC (Penn Quarter),Penn Quarter,425,7th Street NW,Washington,DC,20004,(202) 737-7770,Restaurants,Venue,Carmine's Restaurant - DC
Cedar Restaurant (Penn Quarter),Penn Quarter,822,"E Street, NW",Washington,DC,20004,(202) 637-0012,Restaurants,Venue,Cedar Restaurant
Central Michel Richard (Penn Quarter),Penn Quarter,1001,"Pennsylvania Ave., N",Washington,DC,20004,(202) 626-0015,Restaurants,Venue,Central Michel Richard
Chez Billy (Petworth),Petworth,3815,Georgia Ave NW,Washington,DC,20011,(202) 506-2080,Restaurants,Venue,Chez Billy
The Dancing Crab (Friendship Heights),Friendship Heights,4615,Wisconsin Ave.,Washington,DC,20016,(202) 244-1882,Restaurants,Venue,The Dancing Crab
Asia Nine Bar and Lounge (Penn Quarter),Penn Quarter,915,E Street NW,Washington,DC,20004,0,Restaurants,Venue,Asia Nine Bar and Lounge
Asian Spice (Penn Quarter),Penn Quarter,717,H. St NW,Washington,DC,20001,0,Restaurants,Venue,Asian Spice
Banana Leaves Asian Restaurant and Sushi Bar (Dupont Circle),Dupont Circle,2020,Florida Ave. NW,Washington,DC,20009,0,Restaurants,Venue,Banana Leaves Asian Restaurant and Sushi Bar
Burma (Penn Quarter),Penn Quarter,740,6th Street Northwest,Washington,DC,20001,0,Restaurants,Venue,Burma
Dirty Martini DC (Dupont Circle),Dupont Circle,1223,Connecticut Ave NW,Washington,DC,20036,0,Restaurants,Venue,Dirty Martini DC
Farmers Fishers Bakers Sushi (Georgetown),Georgetown,3000,K Street NW,Washington,DC,20007,0,Restaurants,Venue,Farmers Fishers Bakers Sushi
Fujimar restaurant & sushi lounge (Downtown),Downtown,1401,K Street NW,Washington,DC,20005,0,Restaurants,Venue,Fujimar restaurant & sushi lounge
The Hamilton (Penn Quarter),Penn Quarter,600,14th St. NW,Washington,DC,20005,0,Restaurants,Venue,The Hamilton
Kaz Sushi Bistro (Downtown),Downtown,1915,I Street NW,Washington,DC,20006,0,Restaurants,Venue,Kaz Sushi Bistro
Kushi Izakaya & Sushi (Downtown),Downtown,465,K Street NW,Washington,DC,20001,0,Restaurants,Venue,Kushi Izakaya & Sushi
Malaysia Kopitiam (Dupont Circle),Dupont Circle,1827,M St. NW,Washington,DC,20036,0,Restaurants,Venue,Malaysia Kopitiam
Mandu - 18th Street (Dupont Circle),Dupont Circle,1805,18th Street NW,Washington,DC,20009,0,Restaurants,Venue,Mandu - 18th Street
Mandu - K Street (Downtown),Downtown,453,K Street NW,Washington,DC,20001,0,Restaurants,Venue,Mandu - K Street
Masa 14 (Logan Circle),Logan Circle,1825,"14th Street, NW",Washington,DC,20009,0,Restaurants,Venue,Masa 14
Miss Saigon (Georgetown),Georgetown,3057,M Street NW,Washington,DC,20007,0,Restaurants,Venue,Miss Saigon
Murasaki (Tenleytown),Tenleytown,4620,"Wisconsin Avenue, NW",Washington,DC,20016,0,Restaurants,Venue,Murasaki
Oya Restaurant & Lounge (Downtown),Downtown,777,9th St. NW,Washington,DC,20001,0,Restaurants,Venue,Oya Restaurant & Lounge
Ping Pong Dim Sum - Chinatown (Downtown),Downtown,900,7th Street NW,Washington,DC,20001,0,Restaurants,Venue,Ping Pong Dim Sum - Chinatown
Ping Pong Dim Sum - Dupont (Dupont Circle),Dupont Circle,1,"Dupont Circle, NW",Washington,DC,20036,0,Restaurants,Venue,Ping Pong Dim Sum - Dupont
SEI restaurant & lounge (Penn Quarter),Penn Quarter,444,7th Street NW,Washington,DC,20004,0,Restaurants,Venue,SEI restaurant & lounge
The Source (Downtown),Downtown,575,Pennsylvania Avenue,Washington,DC,20001,0,Restaurants,Venue,The Source
Spices Asian Restaurant (Cleveland Park),Cleveland Park,3333,"Connecticut Ave, NW",Washington,DC,20008,0,Restaurants,Venue,Spices Asian Restaurant
Sticky Rice (H Street Corridor),H Street Corridor,1224,H Street,Washington,DC,20002,0,Restaurants,Venue,Sticky Rice
Sushi Ko - Glover Park (Glover Park),Glover Park,2309,Wisconsin Ave. NW,Washington,DC,20007,0,Restaurants,Venue,Sushi Ko - Glover Park
Sushi Taro (Dupont Circle),Dupont Circle,1503,"17th Street, N.W.",Washington,DC,20036,0,Restaurants,Venue,Sushi Taro
Young Chow Chen's Asian Restaurant and Sushi Bar (Capitol Hill),Capitol Hill,312,Pennsylvania Ave SE,Washington,DC,20003,0,Restaurants,Venue,Young Chow Chen's Asian Restaurant and Sushi Bar
Zengo - D.C. (Penn Quarter),Penn Quarter,781,7th St. NW,Washington,DC,20001,0,Restaurants,Venue,Zengo - D.C.
Zentan (Downtown),Downtown,1155,14th St NW,Washington,DC,20005,0,Restaurants,Venue,Zentan
Burger King (Central City),Central City,2511,S San Pedro St,Los Angeles,CA,90011,(213) 748-2821,Restaurants,Venue,Burger King
Burger King (Pico-Robertson),Pico-Robertson,1742,S La Cienega Blvd,Los Angeles,CA,90035,(310) 836-5065,Restaurants,Venue,Burger King
Domino's Pizza (Downtown),Downtown,545,S Olive St,Los Angeles,CA,90013,(213) 623-2424,Restaurants,Venue,Domino's Pizza
McDonald's (University Park),University Park,2810,S Figueroa St,Los Angeles,CA,90007,(213) 745-9238,Restaurants,Venue,McDonald's
Urth Caffe (Central City East),Central City East,451,S HEWITT ST,LOS ANGELES,CA,90013,(213) 797-4527x10,Restaurants,Venue,Urth Caffe
Cafe Des Artistes (Hollywood),Hollywood,1534,N Mccadden Pl,Los Angeles,CA,90028,(323) 469-7300,Restaurants,Venue,Cafe Des Artistes
Broadway Station (Downtown),Downtown,754,S BROADWAY,Los Angeles,CA,90014-2802,,Restaurants,Venue,Broadway Station
Burger King (Westlake),Westlake,230,S Alvarado St,Los Angeles,CA,90057,(213) 484-9803,Restaurants,Venue,Burger King
Amor Cafe (Downtown),Downtown,606,S Hill St Ste B6,Los Angeles,CA,90014,(213) 627-1970,Restaurants,Venue,Amor Cafe
Tabo Bell Restaurants (Mid City),Mid City,1604,S La Brea Ave,Los Angeles,CA,90019,(323) 931-7234,Restaurants,Venue,Tabo Bell Restaurants
Carls Jr (University Park),University Park,2912,S Figueroa St,Los Angeles,CA,90007,(213) 747-5801,Restaurants,Venue,Carls Jr
Pizza Factory (Hollywood),Hollywood,7353,W Sunset Blvd,Los Angeles,CA,90046,(323) 851-8111,Restaurants,Venue,Pizza Factory
McDonald's (Southeast Los Angeles),Southeast Los Angeles,101,W Manchester Ave,Los Angeles,CA,90003,(323) 758-2740,Restaurants,Venue,McDonald's
El Gaucho (Downtown),Downtown,425,W 8TH ST,Los Angeles,CA,90014-3000,(206) 728-1133,Restaurants,Venue,El Gaucho
Koo Koo Roo (Mid Wilshire),Mid Wilshire,301,N Larchmont Blvd,Los Angeles,CA,90004,(323) 962-1500,Restaurants,Venue,Koo Koo Roo
McDonald's F Clear V (South Los Angeles),South Los Angeles,2215,W Martin Luther King,Los Angeles,CA,900082722,(323) 299-2259,Restaurants,Venue,McDonald's F Clear V
McDonald's (South Los Angeles),South Los Angeles,1763,W Century Blvd,Los Angeles,CA,90047,(323) 754-7738,Restaurants,Venue,McDonald's
Pizza Hut (Pico-Union),Pico-Union,1562,W Pico Blvd,Los Angeles,CA,90015,(213) 388-6111,Restaurants,Venue,Pizza Hut
Burger King (Westchester),Westchester,5228,W Centinela Ave,Los Angeles,CA,90045,(310) 649-2146,Restaurants,Venue,Burger King
Del Taco (University Park),University Park,2735,S Figueroa St,Los Angeles,CA,90007,(213) 744-1706,Restaurants,Venue,Del Taco
Carls Jr (Koreatown),Koreatown,3005,W 6th St,Los Angeles,CA,90020,(213) 380-4255,Restaurants,Venue,Carls Jr
Louise's Trattoria (Cheviot Hills),Cheviot Hills,10645,W PICO BLVD,Los Angeles,CA,90064-2222,(310) 475-6084,Restaurants,Venue,Louise's Trattoria
Yamashiro Restaurant (Hollywood Hills),Hollywood Hills,1999,N Sycamore Ave,Los Angeles,CA,90068-3782,(323) 466-5125,Restaurants,Venue,Yamashiro Restaurant
Jack In the Box (West Adams),West Adams,5101,W Jefferson Blvd,Los Angeles,CA,90016,(323) 525-0868,Restaurants,Venue,Jack In the Box
McDonald's (Westchester),Westchester,5223,W Century Blvd,Los Angeles,CA,90045,(310) 410-1707,Restaurants,Venue,McDonald's
L A Video (Hollywood),Hollywood,720,N Western Ave,Los Angeles,CA,90029,(323) 465-0705,Restaurants,Venue,L A Video
Paradiso Cafe (Sawtelle),Sawtelle,11301,W Olympic Blvd # 103,Los Angeles,CA,90064-1652,(310) 473-3668,Restaurants,Venue,Paradiso Cafe
McDonald's Restaurants (South Los Angeles),South Los Angeles,1900,W Slauson Ave,Los Angeles,CA,90047,(323) 294-0549,Restaurants,Venue,McDonald's Restaurants
Pizza Hut (South Los Angeles),South Los Angeles,1851,W Slauson Ave,Los Angeles,CA,90047,(323) 290-2290,Restaurants,Venue,Pizza Hut
Quiznos (South Los Angeles),South Los Angeles,1100,W Slauson Ave,Los Angeles,CA,90044,(323) 753-5228,Restaurants,Venue,Quiznos
Pioneer Chicken (Mid City),Mid City,5970,W Olympic Blvd,Los Angeles,CA,90036,(323) 954-0454,Restaurants,Venue,Pioneer Chicken
Hama Sushi (Downtown),Downtown,347,E 2nd St,Los Angeles,CA,90012,(213) 680-3454,Restaurants,Venue,Hama Sushi
Wendy's (Hollywood),Hollywood,1305,N VERMONT AVE,Los Angeles,CA,90027-6022,(614) 764-3100,Restaurants,Venue,Wendy's
Jack In the Box (Southeast Los Angeles),Southeast Los Angeles,4407,S Central Ave,Los Angeles,CA,90011,(323) 233-4440,Restaurants,Venue,Jack In the Box
Taco Bell (Highland Park),Highland Park,6060,N Figueroa St,Los Angeles,CA,90042,(323) 258-9353,Restaurants,Venue,Taco Bell
Alamode (Downtown),Downtown,127,E 9th St Ste 711,Los Angeles,CA,90015,(213) 624-6888,Restaurants,Venue,Alamode
Eisenberg Ben B (Downtown),Downtown,127,E 9th St Ste 801,Los Angeles,CA,90015,(213) 627-0671,Restaurants,Venue,Eisenberg Ben B
Burger King (Palms),Palms,3520,S Sepulveda Blvd,Los Angeles,CA,90034,(310) 390-2891,Restaurants,Venue,Burger King
Carl's Jr. (Arlington Heights),Arlington Heights,1611,S Western Ave,Los Angeles,CA,90006-5801,(323) 731-0384,Restaurants,Venue,Carl's Jr.
Starbucks Coffee (Mid City),Mid City,1258,S La Brea Ave,Los Angeles,CA,90019,(323) 934-2408,Restaurants,Venue,Starbucks Coffee
Burger King (Westchester),Westchester,5656,W Manchester Ave,Los Angeles,CA,90045,(310) 645-9033,Restaurants,Venue,Burger King
Tokyo Kaikan Restaurant (Downtown),Downtown,500,E 7th St,Los Angeles,CA,90014,(213) 688-2564,Restaurants,Venue,Tokyo Kaikan Restaurant
Big Mama's & Papa's Pizzeria (Downtown),Downtown,657,S FLOWER ST,Los Angeles,CA,90017-2805,,Restaurants,Venue,Big Mama's & Papa's Pizzeria
Jack In the Box (Hollywood),Hollywood,6407,W Sunset Blvd,Los Angeles,CA,90028,(323) 465-3617,Restaurants,Venue,Jack In the Box
McDonald's (Hollywood),Hollywood,4650,W Sunset Blvd,Los Angeles,CA,90027,(323) 666-1979,Restaurants,Venue,McDonald's
Tree House Social Club (Mid City West),Mid City West,426,S Robertson Blvd,Los Angeles,CA,90048,(310) 288-3024,Restaurants,Venue,Tree House Social Club
On The Border Mexican Grill (Westchester),Westchester,400,World Way,Los Angeles,CA,90045,(310) 665-9445,Restaurants,Venue,On The Border Mexican Grill
Coffee Bean And Tea Leaf (Crestview),Crestview,1845,S La Cienega Blvd,Los Angeles,CA,90035,(310) 815-1255,Restaurants,Venue,Coffee Bean And Tea Leaf
Pams Deli Delight (Downtown),Downtown,515,S Flower St,Los Angeles,CA,90071,(213) 629-2325,Restaurants,Venue,Pams Deli Delight
El Trebol (Boyle Heights),Boyle Heights,2310,E Cesar E Chavez Ave,Los Angeles,CA,90033,(323) 526-4496,Restaurants,Venue,El Trebol
King Taco Restaurant Inc No 6 (Central City),Central City,1951,S San Pedro St,Los Angeles,CA,90011,(213) 747-3176,Restaurants,Venue,King Taco Restaurant Inc No 6
Quiznos Classic Subs (Central City),Central City,1225,E Washington Blvd,Los Angeles,CA,90021,(213) 747-8851,Restaurants,Venue,Quiznos Classic Subs
Del Taco (West Adams),West Adams,3540,S La Brea Ave,Los Angeles,CA,90016,(323) 296-1674,Restaurants,Venue,Del Taco
Tonys Mexican Restaurant (Downtown),Downtown,737,S Los Angeles St,Los Angeles,CA,900142105,(213) 489-2906,Restaurants,Venue,Tonys Mexican Restaurant
Domino's Pizza (South Los Angeles),South Los Angeles,2101,W Century Blvd,Los Angeles,CA,90047,(323) 756-0080,Restaurants,Venue,Domino's Pizza
Leonardos Restaurant (University Park),University Park,2800,S Vermont Ave,Los Angeles,CA,90007,(323) 737-0291,Restaurants,Venue,Leonardos Restaurant
Ca Acorn Los Angeles (Central City),Central City,3655,S Grand Ave Ste 250,Los Angeles,CA,90007,(213) 747-4211,Restaurants,Venue,Ca Acorn Los Angeles
The Edison (San Pedro),San Pedro,108,W 2nd St,Los Angeles,CA,900121586,(213) 613-0000,Restaurants,Venue,The Edison
Coffee House Cona (Mid Wilshire),Mid Wilshire,425,S Western Ave Ste D,Los Angeles,CA,90020,(213) 382-8866,Restaurants,Venue,Coffee House Cona
Taco Bell (Hollywood),Hollywood,990,N Western Ave,Los Angeles,CA,90029,(323) 460-4917,Restaurants,Venue,Taco Bell
Buzz Coffee I (Hollywood),Hollywood,8000,W Sunset Blvd Ste B110,Los Angeles,CA,90046,(323) 656-7460,Restaurants,Venue,Buzz Coffee I
Market Optmtrix Dctors Optometry (Mid City West),Mid City West,6333,W 3rd St Ste 708,Los Angeles,CA,90036,(323) 936-5140,Restaurants,Venue,Market Optmtrix Dctors Optometry
Jack In the Box (Westlake),Westlake,1900,W 6th St,Los Angeles,CA,90057,(213) 483-1768,Restaurants,Venue,Jack In the Box
Hope Cyber Cafe (Crenshaw),Crenshaw,3721,S LA BREA AVE,LOS ANGELES,CA,90189,(323) 290-2410,Restaurants,Venue,Hope Cyber Cafe
Jack In the Box (Hollywood),Hollywood,1243,N Highland Ave,Los Angeles,CA,90038,(323) 461-7605,Restaurants,Venue,Jack In the Box
Jack In the Box (Southeast Los Angeles),Southeast Los Angeles,10307,S Central Ave,Los Angeles,CA,90002,(323) 564-7156,Restaurants,Venue,Jack In the Box
